gen-r5c;-1;2024-05-11 21:02:39 UTC;LINUX-RESTART	(4 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
gen-r5c;10;2024-05-11 21:05:20 UTC;3;59.72;0.00;36.09;0.10;0.00;1.99;0.80;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:05:30 UTC;-1;56.95;0.00;38.77;0.10;0.00;1.99;0.92;0.00;0.00;1.27
gen-r5c;10;2024-05-11 21:05:30 UTC;0;61.28;0.00;34.63;0.00;0.00;2.10;0.90;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:05:30 UTC;1;57.11;0.00;38.71;0.20;0.00;1.99;0.90;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:05:30 UTC;2;52.04;0.00;43.20;0.10;0.00;1.99;0.99;0.00;0.00;1.69
gen-r5c;10;2024-05-11 21:05:30 UTC;3;57.40;0.00;38.53;0.10;0.00;1.89;0.89;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:05:40 UTC;-1;60.40;0.00;35.40;0.07;0.00;2.00;0.85;0.00;0.00;1.27
gen-r5c;10;2024-05-11 21:05:40 UTC;0;61.22;0.00;34.00;0.10;0.00;2.19;0.80;0.00;0.00;1.69
gen-r5c;10;2024-05-11 21:05:40 UTC;1;61.22;0.00;34.80;0.00;0.00;1.89;0.80;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:05:40 UTC;2;61.58;0.00;34.93;0.10;0.00;1.90;0.90;0.00;0.00;0.60
gen-r5c;10;2024-05-11 21:05:40 UTC;3;57.60;0.00;37.90;0.10;0.00;2.00;0.90;0.00;0.00;1.50
gen-r5c;10;2024-05-11 21:05:50 UTC;-1;59.50;0.00;36.56;0.10;0.00;1.99;0.87;0.00;0.00;0.97
gen-r5c;10;2024-05-11 21:05:50 UTC;0;61.85;0.00;33.86;0.10;0.00;2.09;0.80;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:05:50 UTC;1;60.00;0.00;35.92;0.10;0.00;1.99;0.90;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:05:50 UTC;2;56.33;0.00;39.78;0.10;0.00;1.99;0.90;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:05:50 UTC;3;59.82;0.00;36.69;0.10;0.00;1.89;0.90;0.00;0.00;0.60
gen-r5c;10;2024-05-11 21:06:00 UTC;-1;60.02;0.00;36.00;0.07;0.00;1.99;0.85;0.00;0.00;1.07
gen-r5c;10;2024-05-11 21:06:00 UTC;0;61.00;0.00;34.73;0.10;0.00;2.19;0.80;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:06:00 UTC;1;60.78;0.00;35.43;0.00;0.00;1.90;0.80;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:06:00 UTC;2;59.30;0.00;37.01;0.00;0.00;1.89;0.90;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:06:00 UTC;3;59.00;0.00;36.82;0.20;0.00;1.99;0.90;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:06:10 UTC;-1;63.55;0.00;32.05;0.05;0.00;1.99;0.77;0.00;0.00;1.59
gen-r5c;10;2024-05-11 21:06:10 UTC;0;62.99;0.00;31.64;0.00;0.00;2.09;0.70;0.00;0.00;2.59
gen-r5c;10;2024-05-11 21:06:10 UTC;1;65.11;0.00;31.31;0.10;0.00;1.99;0.70;0.00;0.00;0.80
gen-r5c;10;2024-05-11 21:06:10 UTC;2;61.03;0.00;34.79;0.10;0.00;1.99;0.89;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:06:10 UTC;3;65.07;0.00;30.45;0.00;0.00;1.89;0.80;0.00;0.00;1.79
gen-r5c;10;2024-05-11 21:06:20 UTC;-1;61.81;0.00;33.96;0.07;0.00;1.96;0.82;0.00;0.00;1.37
gen-r5c;10;2024-05-11 21:06:20 UTC;0;66.27;0.00;29.75;0.00;0.00;2.09;0.80;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:06:20 UTC;1;58.29;0.00;37.34;0.20;0.00;1.89;0.89;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:06:20 UTC;2;63.28;0.00;32.34;0.10;0.00;1.89;0.80;0.00;0.00;1.59
gen-r5c;10;2024-05-11 21:06:20 UTC;3;59.40;0.00;36.42;0.00;0.00;1.99;0.80;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:06:30 UTC;-1;62.80;0.00;33.00;0.10;0.00;1.96;0.77;0.00;0.00;1.37
gen-r5c;10;2024-05-11 21:06:30 UTC;0;64.54;0.00;31.57;0.20;0.00;2.09;0.70;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:06:30 UTC;1;61.43;0.00;34.19;0.00;0.00;1.99;0.80;0.00;0.00;1.59
gen-r5c;10;2024-05-11 21:06:30 UTC;2;62.39;0.00;33.13;0.10;0.00;1.89;0.80;0.00;0.00;1.69
gen-r5c;10;2024-05-11 21:06:30 UTC;3;62.82;0.00;33.10;0.10;0.00;1.89;0.80;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:06:41 UTC;-1;62.21;0.00;34.00;0.07;0.00;2.00;0.82;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:06:41 UTC;0;61.62;0.00;34.50;0.00;0.00;2.09;0.80;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:06:41 UTC;1;59.22;0.00;37.19;0.10;0.00;1.89;0.80;0.00;0.00;0.80
gen-r5c;10;2024-05-11 21:06:41 UTC;2;64.50;0.00;31.30;0.10;0.00;2.00;0.80;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:06:41 UTC;3;63.51;0.00;33.00;0.10;0.00;1.99;0.90;0.00;0.00;0.50
gen-r5c;10;2024-05-11 21:06:51 UTC;-1;63.66;0.00;32.39;0.07;0.00;2.04;0.82;0.00;0.00;1.02
gen-r5c;10;2024-05-11 21:06:51 UTC;0;67.99;0.00;27.93;0.10;0.00;2.19;0.70;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:06:51 UTC;1;61.99;0.00;34.13;0.00;0.00;1.99;0.90;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:06:51 UTC;2;60.62;0.00;35.22;0.10;0.00;1.98;0.89;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:06:51 UTC;3;64.05;0.00;32.27;0.10;0.00;1.99;0.79;0.00;0.00;0.79
gen-r5c;10;2024-05-11 21:07:01 UTC;-1;61.46;0.00;34.26;0.30;0.00;1.97;0.80;0.00;0.00;1.22
gen-r5c;10;2024-05-11 21:07:01 UTC;0;60.50;0.00;34.13;0.50;0.00;2.19;0.80;0.00;0.00;1.89
gen-r5c;10;2024-05-11 21:07:01 UTC;1;61.32;0.00;34.40;0.20;0.00;1.89;0.80;0.00;0.00;1.40
gen-r5c;10;2024-05-11 21:07:01 UTC;2;61.73;0.00;34.29;0.40;0.00;1.89;0.80;0.00;0.00;0.89
gen-r5c;10;2024-05-11 21:07:01 UTC;3;62.29;0.00;34.23;0.10;0.00;1.89;0.80;0.00;0.00;0.70
gen-r5c;10;2024-05-11 21:07:11 UTC;-1;60.90;0.00;34.87;0.07;0.00;2.04;0.87;0.00;0.00;1.24
gen-r5c;10;2024-05-11 21:07:11 UTC;0;64.58;0.00;30.95;0.00;0.00;2.19;0.80;0.00;0.00;1.49
gen-r5c;10;2024-05-11 21:07:11 UTC;1;58.89;0.00;36.94;0.10;0.00;1.99;0.89;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:07:11 UTC;2;59.94;0.00;36.08;0.10;0.00;1.99;0.89;0.00;0.00;0.99
gen-r5c;10;2024-05-11 21:07:11 UTC;3;60.20;0.00;35.52;0.10;0.00;1.99;0.90;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:07:21 UTC;-1;61.02;0.00;34.70;0.10;0.00;1.97;0.80;0.00;0.00;1.42
gen-r5c;10;2024-05-11 21:07:21 UTC;0;60.74;0.00;34.77;0.10;0.00;2.10;0.80;0.00;0.00;1.50
gen-r5c;10;2024-05-11 21:07:21 UTC;1;59.00;0.00;36.92;0.10;0.00;1.99;0.80;0.00;0.00;1.19
gen-r5c;10;2024-05-11 21:07:21 UTC;2;63.87;0.00;31.84;0.10;0.00;1.90;0.80;0.00;0.00;1.50
gen-r5c;10;2024-05-11 21:07:21 UTC;3;60.46;0.00;35.26;0.10;0.00;1.89;0.80;0.00;0.00;1.49
gen-r5c;10;2024-05-11 21:07:31 UTC;-1;60.91;0.00;34.93;0.05;0.00;1.99;0.85;0.00;0.00;1.27
gen-r5c;10;2024-05-11 21:07:31 UTC;0;61.93;0.00;34.10;0.00;0.00;2.19;0.80;0.00;0.00;0.99
gen-r5c;10;2024-05-11 21:07:31 UTC;1;61.44;0.00;34.57;0.00;0.00;1.90;0.90;0.00;0.00;1.20
gen-r5c;10;2024-05-11 21:07:31 UTC;2;63.75;0.00;32.07;0.10;0.00;1.89;0.80;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:07:31 UTC;3;56.53;0.00;38.98;0.10;0.00;1.99;0.90;0.00;0.00;1.50
gen-r5c;10;2024-05-11 21:07:41 UTC;-1;60.07;0.00;35.82;0.10;0.00;1.97;0.87;0.00;0.00;1.17
gen-r5c;10;2024-05-11 21:07:41 UTC;0;61.69;0.00;33.93;0.10;0.00;2.09;0.80;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:07:41 UTC;1;58.31;0.00;37.41;0.10;0.00;1.89;0.90;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:07:41 UTC;2;60.36;0.00;35.46;0.10;0.00;1.99;0.90;0.00;0.00;1.20
gen-r5c;10;2024-05-11 21:07:41 UTC;3;59.94;0.00;36.48;0.10;0.00;1.89;0.89;0.00;0.00;0.70
gen-r5c;10;2024-05-11 21:07:51 UTC;-1;61.19;0.00;34.91;0.07;0.00;2.01;0.80;0.00;0.00;1.02
gen-r5c;10;2024-05-11 21:07:51 UTC;0;62.95;0.00;32.77;0.00;0.00;2.19;0.80;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:07:51 UTC;1;63.02;0.00;33.20;0.10;0.00;1.99;0.80;0.00;0.00;0.89
gen-r5c;10;2024-05-11 21:07:51 UTC;2;60.46;0.00;35.86;0.10;0.00;1.89;0.80;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:07:51 UTC;3;58.33;0.00;37.80;0.10;0.00;1.98;0.79;0.00;0.00;0.99
gen-r5c;10;2024-05-11 21:08:01 UTC;-1;61.17;0.00;34.82;0.12;0.00;2.02;0.85;0.00;0.00;1.02
gen-r5c;10;2024-05-11 21:08:01 UTC;0;65.34;0.00;30.38;0.20;0.00;2.19;0.80;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:08:01 UTC;1;60.16;0.00;36.35;0.10;0.00;1.99;0.80;0.00;0.00;0.60
gen-r5c;10;2024-05-11 21:08:01 UTC;2;59.12;0.00;36.59;0.10;0.00;1.99;0.90;0.00;0.00;1.30
gen-r5c;10;2024-05-11 21:08:01 UTC;3;60.06;0.00;35.96;0.10;0.00;1.89;0.90;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:08:11 UTC;-1;61.31;0.00;34.77;0.02;0.00;1.97;0.80;0.00;0.00;1.12
gen-r5c;10;2024-05-11 21:08:11 UTC;0;63.46;0.00;32.13;0.00;0.00;2.10;0.70;0.00;0.00;1.60
gen-r5c;10;2024-05-11 21:08:11 UTC;1;62.85;0.00;33.07;0.00;0.00;1.89;0.90;0.00;0.00;1.29
gen-r5c;10;2024-05-11 21:08:11 UTC;2;59.22;0.00;37.19;0.00;0.00;1.89;0.80;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:08:11 UTC;3;59.72;0.00;36.69;0.10;0.00;1.99;0.80;0.00;0.00;0.70
gen-r5c;10;2024-05-11 21:08:21 UTC;-1;60.64;0.00;35.05;0.05;0.00;2.02;0.85;0.00;0.00;1.40
gen-r5c;10;2024-05-11 21:08:21 UTC;0;61.99;0.00;33.23;0.10;0.00;2.19;0.80;0.00;0.00;1.69
