# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
mz7010-som-base-2020-2;10;2024-05-15 00:10:26;-1;32.82;0.15;35.84;0.00;0.00;0.00;0.00;0.00;0.00;31.19
mz7010-som-base-2020-2;10;2024-05-15 00:10:37;-1;38.81;0.30;38.81;4.21;0.00;0.00;0.00;0.00;0.00;17.87
mz7010-som-base-2020-2;10;2024-05-15 00:10:47;-1;53.87;0.15;45.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:10:57;-1;28.16;0.05;16.95;4.30;0.00;0.00;0.00;0.00;0.00;50.54
mz7010-som-base-2020-2;11;2024-05-15 00:11:07;-1;53.56;0.05;46.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:11:17;-1;36.89;0.00;38.53;0.00;0.00;0.00;0.00;0.00;0.00;24.58
mz7010-som-base-2020-2;10;2024-05-15 00:11:28;-1;32.14;0.00;37.69;4.31;0.00;0.00;0.00;0.00;0.00;25.85
mz7010-som-base-2020-2;10;2024-05-15 00:11:38;-1;47.19;0.00;52.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:11:48;-1;23.59;0.05;21.96;4.44;0.00;0.00;0.00;0.00;0.00;49.95
mz7010-som-base-2020-2;10;2024-05-15 00:11:58;-1;44.73;0.05;55.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:12:08;-1;45.15;0.00;41.72;0.00;0.00;0.00;0.00;0.00;0.00;13.13
mz7010-som-base-2020-2;10;2024-05-15 00:12:18;-1;27.47;0.10;30.04;4.21;0.00;0.00;0.00;0.00;0.00;38.18
mz7010-som-base-2020-2;11;2024-05-15 00:12:29;-1;49.29;0.05;50.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:12:39;-1;24.65;0.00;22.07;4.02;0.00;0.00;0.00;0.00;0.00;49.26
mz7010-som-base-2020-2;10;2024-05-15 00:12:49;-1;45.71;0.20;54.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:12:59;-1;44.75;0.05;45.34;0.00;0.00;0.00;0.00;0.00;0.00;9.86
mz7010-som-base-2020-2;10;2024-05-15 00:13:09;-1;30.80;0.10;25.50;4.32;0.00;0.00;0.00;0.00;0.00;39.29
mz7010-som-base-2020-2;11;2024-05-15 00:13:20;-1;49.62;0.00;50.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:13:30;-1;22.21;0.05;22.01;4.27;0.00;0.00;0.00;0.00;0.00;51.47
mz7010-som-base-2020-2;10;2024-05-15 00:13:40;-1;47.43;0.10;52.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:13:50;-1;50.20;0.10;47.82;0.00;0.00;0.00;0.00;0.00;0.00;1.88
mz7010-som-base-2020-2;10;2024-05-15 00:14:00;-1;25.99;0.00;20.70;4.30;0.00;0.00;0.00;0.00;0.00;49.01
mz7010-som-base-2020-2;11;2024-05-15 00:14:11;-1;52.93;0.24;46.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:14:21;-1;24.10;0.20;26.92;0.00;0.00;0.00;0.00;0.00;0.00;48.79
mz7010-som-base-2020-2;10;2024-05-15 00:14:31;-1;44.62;0.20;48.83;4.37;0.00;0.00;0.00;0.00;0.00;1.99
mz7010-som-base-2020-2;11;2024-05-15 00:14:42;-1;51.76;0.05;48.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:14:52;-1;21.75;0.00;24.99;4.17;0.00;0.00;0.00;0.00;0.00;49.09
mz7010-som-base-2020-2;11;2024-05-15 00:15:02;-1;51.42;0.05;48.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:15:12;-1;26.60;0.05;24.81;0.00;0.00;0.00;0.00;0.00;0.00;48.53
mz7010-som-base-2020-2;10;2024-05-15 00:15:23;-1;48.88;0.05;45.95;4.28;0.00;0.00;0.00;0.00;0.00;0.85
mz7010-som-base-2020-2;11;2024-05-15 00:15:33;-1;49.15;0.14;50.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:15:43;-1;26.43;0.20;19.88;4.36;0.00;0.00;0.00;0.00;0.00;49.13
mz7010-som-base-2020-2;10;2024-05-15 00:15:53;-1;50.00;0.15;49.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:16:03;-1;25.72;0.00;30.55;0.00;0.00;0.00;0.00;0.00;0.00;43.73
mz7010-som-base-2020-2;10;2024-05-15 00:16:13;-1;48.53;0.00;39.78;4.33;0.00;0.00;0.00;0.00;0.00;7.36
mz7010-som-base-2020-2;11;2024-05-15 00:16:24;-1;48.91;0.00;51.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:16:34;-1;21.28;0.05;23.21;4.25;0.00;0.00;0.00;0.00;0.00;51.21
mz7010-som-base-2020-2;11;2024-05-15 00:16:45;-1;51.52;0.05;48.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:16:55;-1;33.45;0.40;29.03;0.00;0.00;0.00;0.00;0.00;0.00;37.12
mz7010-som-base-2020-2;10;2024-05-15 00:17:05;-1;42.96;0.05;38.94;4.22;0.00;0.00;0.00;0.00;0.00;13.84
mz7010-som-base-2020-2;11;2024-05-15 00:17:15;-1;50.80;0.00;49.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:17:26;-1;23.46;0.05;20.83;4.27;0.00;0.00;0.05;0.00;0.00;51.34
mz7010-som-base-2020-2;12;2024-05-15 00:17:37;-1;51.61;0.00;48.31;0.00;0.00;0.00;0.09;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:17:47;-1;25.14;0.00;31.69;0.00;0.00;0.00;0.00;0.00;0.00;43.17
mz7010-som-base-2020-2;10;2024-05-15 00:17:57;-1;48.11;0.10;41.66;4.22;0.00;0.00;0.00;0.00;0.00;5.91
mz7010-som-base-2020-2;11;2024-05-15 00:18:08;-1;46.69;0.00;53.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:18:18;-1;21.36;0.05;25.51;4.19;0.00;0.00;0.00;0.00;0.00;48.89
mz7010-som-base-2020-2;10;2024-05-15 00:18:28;-1;52.87;0.15;46.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:18:38;-1;33.00;0.35;27.06;0.00;0.00;0.00;0.00;0.00;0.00;39.59
mz7010-som-base-2020-2;10;2024-05-15 00:18:48;-1;44.13;0.20;40.27;4.31;0.00;0.00;0.00;0.00;0.00;11.09
mz7010-som-base-2020-2;11;2024-05-15 00:18:59;-1;50.05;0.00;49.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:19:09;-1;21.66;0.10;22.65;4.26;0.00;0.00;0.00;0.00;0.00;51.34
mz7010-som-base-2020-2;11;2024-05-15 00:19:19;-1;48.86;0.05;51.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:19:30;-1;36.22;0.10;30.25;0.00;0.00;0.00;0.00;0.00;0.00;33.43
mz7010-som-base-2020-2;10;2024-05-15 00:19:40;-1;43.69;0.00;34.36;3.92;0.00;0.00;0.00;0.00;0.00;18.02
mz7010-som-base-2020-2;10;2024-05-15 00:19:50;-1;48.09;0.05;51.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:20:00;-1;25.61;0.05;19.48;4.30;0.00;0.00;0.00;0.00;0.00;50.57
mz7010-som-base-2020-2;11;2024-05-15 00:20:11;-1;52.88;0.05;47.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:20:21;-1;35.57;0.05;39.15;0.00;0.00;0.00;0.00;0.00;0.00;25.22
mz7010-som-base-2020-2;10;2024-05-15 00:20:31;-1;32.29;0.00;37.61;4.27;0.00;0.00;0.00;0.00;0.00;25.83
mz7010-som-base-2020-2;11;2024-05-15 00:20:41;-1;51.75;0.05;48.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:20:51;-1;22.02;0.05;24.45;4.27;0.00;0.00;0.00;0.00;0.00;49.20
mz7010-som-base-2020-2;10;2024-05-15 00:21:02;-1;50.99;0.25;48.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:21:12;-1;36.05;0.10;42.65;0.00;0.00;0.00;0.00;0.00;0.00;21.20
mz7010-som-base-2020-2;10;2024-05-15 00:21:22;-1;40.10;0.00;27.39;4.27;0.00;0.00;0.00;0.00;0.00;28.24
mz7010-som-base-2020-2;10;2024-05-15 00:21:32;-1;46.55;0.00;53.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:21:42;-1;22.44;0.05;22.34;4.00;0.00;0.00;0.00;0.00;0.00;51.16
mz7010-som-base-2020-2;11;2024-05-15 00:21:53;-1;49.72;0.00;50.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:22:03;-1;45.59;0.00;40.70;0.00;0.00;0.00;0.00;0.00;0.00;13.72
mz7010-som-base-2020-2;10;2024-05-15 00:22:13;-1;32.70;0.00;25.84;4.27;0.00;0.00;0.00;0.00;0.00;37.18
mz7010-som-base-2020-2;11;2024-05-15 00:22:23;-1;47.25;0.00;52.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:22:33;-1;21.55;0.05;25.21;4.20;0.00;0.00;0.00;0.00;0.00;48.99
mz7010-som-base-2020-2;11;2024-05-15 00:22:44;-1;48.07;0.14;51.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:22:54;-1;43.37;0.30;41.83;0.00;0.00;0.00;0.00;0.00;0.00;14.51
mz7010-som-base-2020-2;10;2024-05-15 00:23:04;-1;31.71;0.20;29.07;4.23;0.00;0.00;0.00;0.00;0.00;34.79
mz7010-som-base-2020-2;11;2024-05-15 00:23:15;-1;49.34;0.05;50.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:23:25;-1;23.77;0.05;20.69;3.87;0.00;0.00;0.00;0.00;0.00;51.61
mz7010-som-base-2020-2;10;2024-05-15 00:23:35;-1;49.41;0.05;50.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:23:45;-1;45.53;0.25;46.57;0.00;0.00;0.00;0.00;0.00;0.00;7.65
mz7010-som-base-2020-2;10;2024-05-15 00:23:55;-1;29.07;0.35;24.90;4.12;0.00;0.00;0.00;0.00;0.00;41.57
mz7010-som-base-2020-2;11;2024-05-15 00:24:06;-1;48.72;0.14;51.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:24:16;-1;23.42;0.05;22.82;4.26;0.00;0.00;0.00;0.00;0.00;49.46
mz7010-som-base-2020-2;10;2024-05-15 00:24:26;-1;50.00;0.00;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
