arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 14:50:32;1769316;2953860;609244;15.45;43136;1397796;3549208;89.99;521592;1237036;7180;502904;124476;7632;15104;31652
arm;10;2024-05-12 14:50:42;1761196;2950320;612868;15.54;43152;1402224;3549208;89.99;521608;1241468;432;510908;124528;7632;15112;31652
arm;10;2024-05-12 14:50:52;1753136;2946520;616644;15.64;43168;1406368;3549208;89.99;521632;1245612;2160;524336;124652;7632;15108;31652
arm;10;2024-05-12 14:51:02;1752168;2949944;612580;15.53;43184;1410608;3549208;89.99;521640;1249872;6352;528188;125428;7632;15108;31652
arm;10;2024-05-12 14:51:12;1748036;2950260;612680;15.53;43200;1414912;3549192;89.99;521656;1254032;10736;528024;125140;7616;15108;31636
arm;10;2024-05-12 14:51:22;1742764;2949392;613668;15.56;43216;1419164;3549192;89.99;521680;1258428;1256;528168;125156;7616;15108;31636
arm;10;2024-05-12 14:51:32;1739824;2950956;612184;15.52;43232;1423572;3549192;89.99;521704;1262860;3508;528240;125156;7632;15152;31636
arm;10;2024-05-12 14:51:42;1735056;2950672;612184;15.52;43248;1427904;3549192;89.99;521728;1267136;7840;528172;125576;7616;15108;31636
arm;10;2024-05-12 14:51:52;1727624;2947796;615368;15.60;43264;1432284;3549192;89.99;521744;1271544;12220;528172;125428;7616;15108;31636
arm;10;2024-05-12 14:52:02;1726784;2951260;611668;15.51;43280;1436456;3549192;89.99;521752;1275728;2708;528172;125780;7616;15108;31636
arm;10;2024-05-12 14:52:12;1720932;2949848;612944;15.54;43296;1440748;3549204;89.99;521776;1280020;7088;528184;126048;7600;15104;31620
arm;10;2024-05-12 14:52:22;1717328;2950504;612372;15.53;43312;1444928;3549204;89.99;521792;1284004;11156;528036;126028;7600;15112;31620
arm;10;2024-05-12 14:52:32;1713696;2951428;611652;15.51;43328;1449336;3549204;89.99;521808;1288432;1940;528036;125956;7600;15112;31620
arm;10;2024-05-12 14:52:42;1709144;2951412;611508;15.50;43344;1453696;3549204;89.99;521808;1293004;6280;528184;126276;7600;15108;31620
arm;10;2024-05-12 14:52:52;1702852;2949516;613392;15.55;43360;1457972;3549204;89.99;521832;1297088;10568;528036;126392;7600;15112;31620
arm;10;2024-05-12 14:53:02;1690156;2941324;621604;15.76;43376;1462280;3549180;89.99;521848;1301464;1412;528036;126552;7616;15108;31620
arm;10;2024-05-12 14:53:12;1692468;2948080;614900;15.59;43392;1466584;3549168;89.99;521860;1305812;5820;528080;126624;7632;15060;31636
arm;10;2024-05-12 14:53:22;1690424;2950276;612804;15.54;43408;1470720;3549168;89.99;521888;1310008;9828;528172;126612;7632;15108;31652
arm;10;2024-05-12 14:53:32;1686028;2949896;612860;15.54;43424;1474644;3549168;89.99;521896;1313772;372;528024;127012;7632;15104;31652
arm;10;2024-05-12 14:53:42;1680804;2949164;613868;15.56;43436;1479000;3549168;89.99;521912;1318268;4736;528172;126860;7632;15108;31652
arm;10;2024-05-12 14:53:52;1676688;2949672;613356;15.55;43464;1483452;3549168;89.99;521936;1322588;9152;528024;127008;7632;15108;31652
arm;10;2024-05-12 14:54:02;1671416;2948864;614036;15.57;43480;1487804;3549196;89.99;521952;1326928;6828;528028;127232;7632;15108;31652
arm;10;2024-05-12 14:54:12;1666552;2948556;614244;15.57;43568;1492112;3549200;89.99;522048;1331392;4044;528176;127492;7616;15108;31604
arm;10;2024-05-12 14:54:23;1662320;2948944;613948;15.57;43584;1496600;3549200;89.99;522056;1335896;8452;528180;127516;7616;15108;31604
arm;10;2024-05-12 14:54:33;1658540;2949560;613232;15.55;43600;1500900;3549200;89.99;522072;1340144;12676;528180;127696;7616;15112;31604
arm;10;2024-05-12 14:54:43;1654596;2949972;612952;15.54;43616;1505112;3549200;89.99;522088;1344376;760;528180;127692;7632;15104;31620
arm;10;2024-05-12 14:54:53;1647676;2947336;615620;15.61;43632;1509220;3549200;89.99;522108;1348428;4868;528088;127820;7616;15060;31620
arm;10;2024-05-12 14:55:03;1645228;2949308;613604;15.56;43648;1513544;3549200;89.99;522128;1352796;9364;528180;127944;7632;15108;31604
arm;10;2024-05-12 14:55:13;1641592;2949664;612280;15.52;43664;1517396;3549192;89.99;522136;1356588;268;528088;129036;7664;15148;31620
arm;10;2024-05-12 14:55:23;1634324;2947088;615584;15.61;43680;1521944;3549192;89.99;522156;1361196;4692;528032;128436;7648;15124;31620
arm;10;2024-05-12 14:55:33;1633780;2950992;611772;15.51;43696;1526276;3549192;89.99;522172;1365500;9028;528148;128444;7648;15104;31636
arm;10;2024-05-12 14:55:43;1628636;2950200;612180;15.52;43712;1530496;3549192;89.99;522188;1369708;13248;528144;128944;7648;15104;31636
arm;10;2024-05-12 14:55:53;1621684;2947756;615036;15.59;43728;1534896;3549192;89.99;522204;1374088;3756;528152;128624;7648;15104;31636
arm;10;2024-05-12 14:56:03;1619756;2950436;612228;15.52;43744;1539352;3549196;89.99;522224;1378600;8200;528176;128888;7648;15108;31636
arm;10;2024-05-12 14:56:13;1616464;2951544;611148;15.50;43756;1543572;3549204;89.99;522232;1382892;12504;528256;129028;7664;15148;31636
arm;10;2024-05-12 14:56:23;1603052;2942488;620136;15.72;43768;1547852;3549204;89.99;522248;1387068;2736;528184;129160;7648;15108;31636
arm;10;2024-05-12 14:56:33;1600692;2944604;618164;15.67;43784;1552176;3555208;90.14;522272;1394292;7244;531056;129152;7680;15276;31676
arm;10;2024-05-12 14:56:43;1597428;2945824;616856;15.64;43800;1556488;3555208;90.14;522292;1398736;11268;531148;129396;7696;15320;31676
arm;10;2024-05-12 14:56:53;1594488;2947440;615216;15.60;43816;1560904;3555208;90.14;522316;1403136;2060;531148;129544;7696;15320;31676
arm;10;2024-05-12 14:57:03;1589696;2947112;615616;15.61;43832;1565208;3555184;90.14;522332;1407436;6384;531148;129616;7696;15328;31676
arm;10;2024-05-12 14:57:13;1586060;2947688;614768;15.59;43848;1569328;3555184;90.14;522348;1411548;10584;531148;129964;7696;15328;31676
arm;10;2024-05-12 14:57:23;1581880;2948052;614540;15.58;43864;1573768;3555184;90.14;522364;1415800;3868;531000;129916;7696;15324;31676
